Resource,Prompt,Rego intent,Difficulty,Reference output,Intent,LLM Output #0,LLM Plannable? #0,LLM Correct? #0,LLM Plan Phase Error #0,LLM OPA match phase Error #0,LLM Notes #0
aws_cloudwatch_metric_alarm,Create a CloudWatch Metric Alarm resource.,"package main

import future.keywords.in

default allow = false

# Check if AWS CloudWatch Composite Alarm is being created
aws_cloudwatch_composite_alarm_valid(resources) {
    some resource in resources
    resource.type == ""aws_cloudwatch_metric_alarm""
}

# Aggregate all checks
allow {
    aws_cloudwatch_composite_alarm_valid(input.resource_changes)
}",2,"resource ""aws_cloudwatch_metric_alarm"" ""foobar"" {
  alarm_name                = ""terraform-test-foobar5""
  comparison_operator       = ""GreaterThanOrEqualToThreshold""
  evaluation_periods        = 2
  metric_name               = ""CPUUtilization""
  namespace                 = ""AWS/EC2""
  period                    = 120
  statistic                 = ""Average""
  threshold                 = 80
  alarm_description         = ""This metric monitors ec2 cpu utilization""
  insufficient_data_actions = []
}",Createsr a aws_cloudwatch_metric_alarm," ```hcl
provider ""aws"" {
  region = ""us-west-2""
}

resource ""aws_cloudwatch_metric_alarm"" ""example"" {
  alarm_name                = ""cpu-utilization-high""
  comparison_operator       = ""GreaterThanThreshold""
  evaluation_periods        = 2
  metric_name               = ""CPUUtilization""
  namespace                 = ""AWS/EC2""
  period                    = 300
  statistic                 = ""Average""
  threshold                 = 85.0
  alarm_actions             = [aws_sns_topic.example.arn]
}

resource ""aws_sns_topic"" ""example"" {
  name = ""cpu-utilization-alarms""
}
```",True,Success,No error,No error,
aws_cloudwatch_metric_alarm,Generate a Terraform HCL code snippet to define an AWS CloudWatch metric alarm named 'foobar' that monitors the 'CPUUtilization' metric of AWS EC2 instances. The alarm should trigger when the average CPU utilization is greater than or equal to 80% for two consecutive 2-minute periods. Ensure that no actions are taken when there's insufficient data.,"package main

import future.keywords.in

default allow = false

# Check if AWS CloudWatch Composite Alarm is being created
aws_cloudwatch_composite_alarm_valid(resources) {
    some resource in resources
    resource.type == ""aws_cloudwatch_metric_alarm""
    resource.change.after.comparison_operator == ""GreaterThanOrEqualToThreshold""
    resource.change.after.threshold == 80
    resource.change.after.evaluation_periods == 2
}

# Aggregate all checks
allow {
    aws_cloudwatch_composite_alarm_valid(input.resource_changes)
}
",2,"resource ""aws_cloudwatch_metric_alarm"" ""foobar"" {
  alarm_name                = ""terraform-test-foobar5""
  comparison_operator       = ""GreaterThanOrEqualToThreshold""
  evaluation_periods        = 2
  metric_name               = ""CPUUtilization""
  namespace                 = ""AWS/EC2""
  period                    = 120
  statistic                 = ""Average""
  threshold                 = 80
  alarm_description         = ""This metric monitors ec2 cpu utilization""
  insufficient_data_actions = []
}",," ```hcl
provider ""aws"" {
  region = ""us-east-1""
}

resource ""aws_cloudwatch_metric_alarm"" ""foobar"" {
  alarm_name                = ""foobar""
  comparison_operator       = ""GreaterThanOrEqualToThreshold""
  evaluation_periods        = 2
  metric_name               = ""CPUUtilization""
  namespace                 = ""AWS/EC2""
  period                    = 120
  statistic                 = ""Average""
  threshold                 = 80.0
  alarm_actions             = [aws_sns_topic.foobar_alarm.arn]
}

resource ""aws_sns_topic"" ""foobar_alarm"" {
  name = ""foobar_alarm""
}
```",True,Success,No error,No error,
aws_dynamodb_contributor_insights,Create a DynamoDB Contributor Insights resource for a specific table with custom settings,"package main

import future.keywords.in

default allow = false

# Check if AWS DynamoDB Contributor Insights is being created for a specific table
aws_dynamodb_contributor_insights_valid(resources) {
    some resource in resources
    resource.type == ""aws_dynamodb_contributor_insights""
}

# Aggregate all checks
allow {
    aws_dynamodb_contributor_insights_valid(input.resource_changes)
}
",1,"resource ""aws_dynamodb_contributor_insights"" ""test"" {
  table_name = ""ExampleTableName""
}",Create a DynamoDB table and enable contributor insights," ```hcl
provider ""aws"" {
  region = ""us-west-2""
}

resource ""aws_dynamodb_table_item"" ""contributor_insights"" {
  table_name = var.table_name

  item = jsonencode({
    ""PartitionKey"": {""S"": ""UserId""},
    ""SortKey"": {""S"": ""MessageTimestamp""},
    ""Message"": {""S"": ""Hello, DynamoDB!""},
    ""Sender"": {""S"": ""User123""}
  })

  provider = aws.contributor_insights
}

variable ""table_name"" {
  description = ""The name of the DynamoDB table""
  default     = ""example-table""
}
```",False,No opa_result,"
Error: Provider configuration not present

To work with aws_dynamodb_table_item.contributor_insights its original
provider configuration at
provider[""registry.terraform.io/hashicorp/aws""].contributor_insights is
required, but it has been removed. This occurs when a provider configuration
is removed while objects created by that provider still exist in the state.
Re-add the provider configuration to destroy
aws_dynamodb_table_item.contributor_insights, after which you can remove the
provider configuration again.
",None,Terraform plan failed.
"aws_dynamodb_kinesis_streaming_destination, aws_dynamodb_table, aws_kinesis_stream",Create a Kinesis Streaming Destination for a specific DynamoDB table.,"package main

import future.keywords.in

default allow = false

# Check if AWS DynamoDB Kinesis Streaming Destination is being created for a specific table
aws_dynamodb_kinesis_streaming_destination_valid(resources) {
    some resource in resources
    resource.type == ""aws_dynamodb_kinesis_streaming_destination""
}

# Aggregate all checks
allow {
    aws_dynamodb_kinesis_streaming_destination_valid(input.resource_changes)
}",2,"resource ""aws_dynamodb_table"" ""example"" {
  name     = ""orders""
  hash_key = ""id""

  attribute {
    name = ""id""
    type = ""S""
  }
}

resource ""aws_kinesis_stream"" ""example"" {
  name        = ""order_item_changes""
  shard_count = 1
}

resource ""aws_dynamodb_kinesis_streaming_destination"" ""example"" {
  stream_arn = aws_kinesis_stream.example.arn
  table_name = aws_dynamodb_table.example.name
}","create a stream_arn (name), dynamodb table(hash_key, name, attribute (name, type)), create the kineses streaming"," ```hcl
provider ""aws"" {
  region = ""us-east-1""
}

resource ""aws_dynamodb_table"" ""example"" {
  name           = ""example-table""
  billing_mode   = ""PROVISIONED""
  read_capacity  = 5
  write_capacity = 5
  hash_key       = ""id""

  attribute {
    name = ""id""
    type = ""S""
  }
}

resource ""aws_kinesis_stream"" ""example_stream"" {
  name        = ""example-stream""
  shard_count = 1
}

resource ""aws_kinesis_analytics_application"" ""example_app"" {
  name           = ""example-app""
  runtime        = ""FLINK-1_8""
  service_execution_role = aws_iam_role.example_role.arn

  inputs {
    name_prefix       = ""example-input-""
    kinesis_stream {
      stream_name     = aws_kinesis_stream.example_stream.name
      role_arn        = aws_iam_role.example_role.arn
    }
    schema {
      record_format_type = ""JSON""
    }
  }

  outputs {
    name       = ""example-output""
    kinesis_stream {
      stream_name     = aws_kinesis_stream.example_stream.name
      role_arn        = aws_iam_role.example_role.arn
    }
    schema {
      record_format_type = ""JSON""
    }
  }
}

resource ""aws_iam_role"" ""example_role"" {
  name = ""example-role""

  assume_role_policy = jsonencode({
    Version = ""2012-10-17""
    Statement = [
      {
        Action = ""sts:AssumeRole""
        Effect = ""Allow""
        Principal = {
          Service = ""kinesisanalytics.amazonaws.com""
        }
      }
    ]
  })
}
```",False,No opa_result,"
Error: Unsupported argument

  on main.tf line 25, in resource ""aws_kinesis_analytics_application"" ""example_app"":
  25:   runtime        = ""FLINK-1_8""

An argument named ""runtime"" is not expected here.

Error: Unsupported argument

  on main.tf line 26, in resource ""aws_kinesis_analytics_application"" ""example_app"":
  26:   service_execution_role = aws_iam_role.example_role.arn

An argument named ""service_execution_role"" is not expected here.

Error: Missing required argument

  on main.tf line 30, in resource ""aws_kinesis_analytics_application"" ""example_app"":
  30:     kinesis_stream {

The argument ""resource_arn"" is required, but no definition was found.

Error: Unsupported argument

  on main.tf line 31, in resource ""aws_kinesis_analytics_application"" ""example_app"":
  31:       stream_name     = aws_kinesis_stream.example_stream.name

An argument named ""stream_name"" is not expected here.

Error: Insufficient record_columns blocks

  on main.tf line 34, in resource ""aws_kinesis_analytics_application"" ""example_app"":
  34:     schema {

At least 1 ""record_columns"" blocks are required.

Error: Insufficient record_format blocks

  on main.tf line 34, in resource ""aws_kinesis_analytics_application"" ""example_app"":
  34:     schema {

At least 1 ""record_format"" blocks are required.

Error: Unsupported argument

  on main.tf line 35, in resource ""aws_kinesis_analytics_application"" ""example_app"":
  35:       record_format_type = ""JSON""

An argument named ""record_format_type"" is not expected here.

Error: Missing required argument

  on main.tf line 41, in resource ""aws_kinesis_analytics_application"" ""example_app"":
  41:     kinesis_stream {

The argument ""resource_arn"" is required, but no definition was found.

Error: Unsupported argument

  on main.tf line 42, in resource ""aws_kinesis_analytics_application"" ""example_app"":
  42:       stream_name     = aws_kinesis_stream.example_stream.name

An argument named ""stream_name"" is not expected here.
",None,Terraform plan failed.
aws_dax_parameter_group,Create a custom DAX parameter group,"package main

import future.keywords.in

default allow = false

# Check if the AWS DynamoDB table is being created in us-east-1
aws_dax_parameter_group_valid(resources) {
    some resource in resources
    resource.type == ""aws_dax_parameter_group""
}

# Aggregate all checks
allow {
    aws_dax_parameter_group_valid(input.resource_changes)
}",2,"resource ""aws_dax_parameter_group"" ""example"" {
  name = ""example""

  parameters {
    name  = ""query-ttl-millis""
    value = ""100000""
  }

  parameters {
    name  = ""record-ttl-millis""
    value = ""100000""
  }
}","require name of the group, list of parameters (key, value) pairs"," ```hcl
provider ""aws"" {
  region = ""us-west-2""
}

resource ""aws_dax_parameter_group"" ""example"" {
  name = ""custom-dax-parameters""

  parameters {
    name  = ""query-ttl""
    value = ""60""
  }

  parameters {
    name  = ""record-ttl""
    value = ""30""
  }
}
```",True,Success,No error,No error,
aws_dynamodb_table,Configure on-demand capacity mode for a DynamoDB table.,"package main

import future.keywords.in

default allow = false

# Check if the AWS DynamoDB table is being created in us-east-1
aws_dynamodb_table_valid(resources) {
    some resource in resources
    resource.type == ""aws_dynamodb_table""
    resource.change.after.billing_mode == ""PAY_PER_REQUEST""
}

# Aggregate all checks
allow {
    aws_dynamodb_table_valid(input.resource_changes)
}
",1,"resource ""aws_dynamodb_table"" ""basic-dynamodb-table"" {
  name           = ""example""
  billing_mode   = ""PAY_PER_REQUEST""
  hash_key       = ""UserId""

  attribute {
    name = ""UserId""
    type = ""S""
  }
}","dynamodb table -> hash_key, name, attribute (name, type), billing mode pay per read"," ```hcl
provider ""aws"" {
  region = ""us-west-2""
}

resource ""aws_dynamodb_table"" ""example"" {
  name           = ""terraform-lock-table""
  billing_mode   = ""PAY_PER_REQUEST""
  hash_key       = ""LockID""

  attribute {
    name = ""LockID""
    type = ""S""
  }
}
```",True,Success,No error,No error,
aws_sagemaker_code_repository,"Create a sagemaker_code_repository to aws_sagemaker_code_repository to ""https://github.com/hashicorp/terraform-provider-aws.git""","package main

import future.keywords.in

default allow = false


aws_sagemaker_code_repository_valid(resources) {
    some resource in resources
    resource.type == ""aws_sagemaker_code_repository""
    resource.change.after.git_config[0].repository_url ==  ""https://github.com/hashicorp/terraform-provider-aws.git""
}

# Aggregate all checks
allow {
    aws_sagemaker_code_repository_valid(input.resource_changes)
}",1,"resource ""aws_sagemaker_code_repository"" ""example"" {
  code_repository_name = ""example""

  git_config {
    repository_url = ""https://github.com/hashicorp/terraform-provider-aws.git""
  }
}",," ```hcl
provider ""aws"" {
  region = ""us-west-2""
}

resource ""aws_sagemaker_code_repository"" ""example"" {
  code_repository_name = ""hashicorp-terraform-provider-aws""
  git_repo {
    repository_url = ""https://github.com/hashicorp/terraform-provider-aws.git""
  }
}
```",False,No opa_result,"
Error: Insufficient git_config blocks

  on main.tf line 5, in resource ""aws_sagemaker_code_repository"" ""example"":
   5: resource ""aws_sagemaker_code_repository"" ""example"" {

At least 1 ""git_config"" blocks are required.

Error: Unsupported block type

  on main.tf line 7, in resource ""aws_sagemaker_code_repository"" ""example"":
   7:   git_repo {

Blocks of type ""git_repo"" are not expected here.
",None,Terraform plan failed.
"aws_iam_role, aws_sagemaker_image, aws_iam_policy_document",Create a aws_sagemaker_image,"package main

import future.keywords.in

default allow = false

aws_iam_role_valid(resources) {
    some resource in resources
    resource.type == ""aws_iam_role""
}

aws_sagemaker_image_valid(resources) {
    some resource in resources
    resource.type == ""aws_sagemaker_image""
}


# Aggregate all checks
allow {
    aws_sagemaker_image_valid(input.resource_changes)
    aws_iam_role_valid(input.resource_changes)
}",2,"resource ""aws_iam_role"" ""example"" {
  name               = ""example""
  path               = ""/""
  assume_role_policy = data.aws_iam_policy_document.example.json
}

data ""aws_iam_policy_document"" ""example"" {
  statement {
    actions = [""sts:AssumeRole""]

    principals {
      type        = ""Service""
      identifiers = [""sagemaker.amazonaws.com""]
    }
  }
}

resource ""aws_sagemaker_image"" ""example"" {
  image_name = ""example""
  role_arn   = aws_iam_role.example.arn
}",," ```hcl
provider ""aws"" {
  region = ""us-west-2""
}

resource ""aws_sagemaker_image"" ""example"" {
  image_name      = ""example-image""
  role_arn        = aws_iam_role.sagemaker_execution_role.arn
  container_image = ""123456789012.dkr.ecr.us-west-2.amazonaws.com/my-repo:latest""
}

resource ""aws_iam_role"" ""sagemaker_execution_role"" {
  name = ""sagemaker_execution_role""

  assume_role_policy = jsonencode({
    Version = ""2012-10-17""
    Statement = [
      {
        Action = ""sts:AssumeRole""
        Effect = ""Allow""
        Principal = {
          Service = ""sagemaker.amazonaws.com""
        }
      }
    ]
  })
}
```",False,No opa_result,"
Error: Unsupported argument

  on main.tf line 8, in resource ""aws_sagemaker_image"" ""example"":
   8:   container_image = ""123456789012.dkr.ecr.us-west-2.amazonaws.com/my-repo:latest""

An argument named ""container_image"" is not expected here.
",None,Terraform plan failed.
aws_sagemaker_human_task_ui,"Create a SageMaker Human Task UI resource from sagemaker-human-task-ui-template.html containing ""<h1>
    TEST
</h1>""","package main

import future.keywords.in

default allow = false

aws_sagemaker_human_task_ui_valid(resources) {
    some resource in resources
    resource.type == ""aws_sagemaker_human_task_ui""
    resource.change.after.ui_template[0].content == ""\u003ch1\u003e\n    TEST\n\u003c/h1\u003e""

}

# Aggregate all checks
allow {
    aws_sagemaker_human_task_ui_valid(input.resource_changes)
}",1,"resource ""aws_sagemaker_human_task_ui"" ""example"" {
  human_task_ui_name = ""example""

  ui_template {
    content = file(""sagemaker-human-task-ui-template.html"")
  }
}",," ```hcl
provider ""aws"" {
  region = ""us-west-2""
}

resource ""aws_sagemaker_human_task_ui"" ""test_human_task_ui"" {
  human_task_ui_name = ""test-human-task-ui""
  ui_template {
    content = file(""sagemaker-human-task-ui-template.html"")
  }
}
```",False,No opa_result,"
Error: Invalid function argument

  on main.tf line 8, in resource ""aws_sagemaker_human_task_ui"" ""test_human_task_ui"":
   8:     content = file(""sagemaker-human-task-ui-template.html"")
    
     while calling file(path)

Invalid value for ""path"" parameter: no file exists at
""sagemaker-human-task-ui-template.html""; this function works only with files
that are distributed as part of the configuration source code, so if this
file will be created by a resource in this configuration you must instead
obtain this result from an attribute of that resource.
",None,Terraform plan failed.
aws_ami,Create the latest Amazon Linux 2 AMI,"package terraform

default ami_latest_amazon_linux_2 = false

ami_latest_amazon_linux_2 {
    resource := input.configuration.root_module.resources[_]
    resource.type == ""aws_ami""
    resource.name == ""latest_amazon_linux_2""
    resource.expressions.filter[_].name.constant_value == ""name""
    resource.expressions.filter[_].values.constant_value[_] == ""amzn2-ami-hvm-*-x86_64-gp2""
    resource.expressions.most_recent.constant_value == true
    resource.expressions.owners.constant_value[_] == ""amazon""
}",1,"data ""aws_ami"" ""latest_amazon_linux_2"" {
  most_recent = true
  owners      = [""amazon""]

  filter {
    name   = ""name""
    values = [""amzn2-ami-hvm-*-x86_64-gp2""]
  }
}",create aws_ami resource with name = any," ```hcl
provider ""aws"" {
  region = ""us-west-2""
}

data ""aws_ami"" ""latest_amazon_linux_2"" {
  most_recent = true
  owners      = [""137112412989""] # Amazon Linux 2 AMI owner

  filter {
    name   = ""name""
    values = [""amzn2-ami-hvm-*""]
  }
}

resource ""aws_instance"" ""example"" {
  ami           = data.aws_ami.latest_amazon_linux_2.id
  instance_type = ""t2.micro""

  tags = {
    Name = ""terraform-example""
  }
}
```",True,Failure,No error,"Rule violation found. OPA complete output logged here: {'result': [{'expressions': [{'value': {'terraform': {'ami_latest_amazon_linux_2': False}}, 'text': 'data', 'location': {'row': 1, 'col': 1}}]}]}",
aws_elasticache_cluster,Provide a resource to reduce the number of database calls.,"package main

import future.keywords.in

default allow = false

aws_elasticache_cluster_valid(resources) {
    some resource in resources
    resource.type == ""aws_elasticache_cluster""
    resource.change.after.engine == ""memcached""
}

# Aggregate all checks
allow {
    aws_elasticache_cluster_valid(input.resource_changes)
}",1,"resource ""aws_elasticache_cluster"" ""example"" {
  cluster_id           = ""cluster-example""
  engine               = ""memcached""
  node_type            = ""cache.m4.large""
  num_cache_nodes      = 2
  parameter_group_name = ""default.memcached1.4""
  port                 = 11211
}","requires cluster id, engine=memcached, node_type, num_cache_nodes, parameter_group_name"," ```hcl
provider ""aws"" {
  region = ""us-west-2""
}

resource ""aws_elasticache_cluster"" ""redis"" {
  cluster_id           = ""terraform-redis""
  engine               = ""redis""
  node_type            = ""cache.m5.large""
  num_cache_nodes      = 1
  parameter_group_name = ""default.redis3.2""
  port                 = 6379
}
```",True,Failure,No error,"Rule violation found. OPA complete output logged here: {'result': [{'expressions': [{'value': {'main': {'allow': False}}, 'text': 'data', 'location': {'row': 1, 'col': 1}}]}]}",
aws_elasticache_user,authenticate a elasticache user with redis,"package main

import future.keywords.in

default allow = false

aws_elasticache_user_valid(resources) {
    some resource in resources
    resource.type == ""aws_elasticache_user""
    resource.change.after.engine == ""REDIS""
}

# Aggregate all checks
allow {
    aws_elasticache_user_valid(input.resource_changes)
}",1,"resource ""aws_elasticache_user"" ""test"" {
  user_id       = ""testUserId""
  user_name     = ""testUserName""
  access_string = ""on ~app::* -@all +@read +@hash +@bitmap +@geo -setbit -bitfield -hset -hsetnx -hmset -hincrby -hincrbyfloat -hdel -bitop -geoadd -georadius -georadiusbymember""
  engine        = ""REDIS""
  passwords     = [""password123456789""]
}","requires access string, engine = REDIS, user id and user name"," ```hcl
provider ""aws"" {
  region = ""us-west-2""
}

resource ""aws_elasticache_user"" ""redis_user"" {
  engine       = ""redis""
  user_id      = ""my-user""
  access_string = ""+@all""
  no_password_required = false
  passwords    = [""password1"", ""password2""]
}
```",False,No opa_result,"
Error: Missing required argument

  on main.tf line 5, in resource ""aws_elasticache_user"" ""redis_user"":
   5: resource ""aws_elasticache_user"" ""redis_user"" {

The argument ""user_name"" is required, but no definition was found.
",None,Terraform plan failed.
aws_elasticache_user,authenticate a elasticache user with iam,"package main

import future.keywords.in

default allow = false

aws_elasticache_user_valid(resources) {
    some resource in resources
    resource.type == ""aws_elasticache_user""
    resource.change.after.authentication_mode[_].type == ""iam""
}

# Aggregate all checks
allow {
    aws_elasticache_user_valid(input.resource_changes)
}",1,"resource ""aws_elasticache_user"" ""test"" {
  user_id       = ""testUserId""
  user_name     = ""testUserName""
  access_string = ""on ~* +@all""
  engine        = ""REDIS""

  authentication_mode {
    type = ""iam""
  }
}","requires access string, engine = REDIS, user id and user name, authentication_mode {type = ""iam""}"," ```hcl
provider ""aws"" {
  region = ""us-west-2""
}

resource ""aws_iam_user"" ""elasticache_user"" {
  name = ""elasticache_user""
}

resource ""aws_iam_access_key"" ""elasticache_user_key"" {
  user = aws_iam_user.elasticache_user.name
}

output ""elasticache_user_access_key_id"" {
  value = aws_iam_access_key.elasticache_user_key.id
}

output ""elasticache_user_secret_access_key"" {
  value     = aws_iam_access_key.elasticache_user_key.secret
  sensitive = true
}
```",True,Failure,No error,"Rule violation found. OPA complete output logged here: {'result': [{'expressions': [{'value': {'main': {'allow': False}}, 'text': 'data', 'location': {'row': 1, 'col': 1}}]}]}",
aws_elasticache_user,authenticate a elasticache user with passwords,"package main

import future.keywords.in

default allow = false

aws_elasticache_user_valid(resources) {
    some resource in resources
    resource.type == ""aws_elasticache_user""
    resource.change.after.authentication_mode[_].type == ""password""
}

# Aggregate all checks
allow {
    aws_elasticache_user_valid(input.resource_changes)
}",2,"resource ""aws_elasticache_user"" ""test"" {
  user_id       = ""testUserId""
  user_name     = ""testUserName""
  access_string = ""on ~* +@all""
  engine        = ""REDIS""

  authentication_mode {
    type      = ""password""
    passwords = [""password1"", ""password2""]
  }
}","requires access string, engine = REDIS, user id and user name, authentication_mode {type= ""password"", passwords = [""password1"", ""password2""]}"," ```hcl
provider ""aws"" {
  region = ""us-west-2""
}

resource ""aws_elasticache_user"" ""example"" {
  user_id        = ""my-user""
  access_string  = ""on ~* &* +@all""
  engine         = ""redis""
  passwords      = [""password1"", ""password2""]
}
```",False,No opa_result,"
Error: Missing required argument

  on main.tf line 5, in resource ""aws_elasticache_user"" ""example"":
   5: resource ""aws_elasticache_user"" ""example"" {

The argument ""user_name"" is required, but no definition was found.
",None,Terraform plan failed.
"aws_elasticache_user, aws_elasticache_user_group",Provides an ElastiCache user group resource with 3 users,"package main

import future.keywords.in

default allow = false

# Check if AWS ElastiCache user group exists
aws_elasticache_user_group_exists(resources) {
    some resource in resources
    resource.type == ""aws_elasticache_user_group""
    resource.change.actions[_] == ""create""
    count(resource.change.after[user_ids])==3
}

# Check if AWS ElastiCache user exists
aws_elasticache_user_exists(resources) {
    some resource in resources
    resource.type == ""aws_elasticache_user""
    resource.change.actions[_] == ""create""
}

# Aggregate all checks
allow {
    aws_elasticache_user_group_exists(input.resource_changes)
    aws_elasticache_user_exists(input.resource_changes)
}",2,"resource ""aws_elasticache_user"" ""test"" {
  user_id       = ""testUserId""
  user_name     = ""default""
  access_string = ""on ~app::* -@all +@read +@hash +@bitmap +@geo -setbit -bitfield -hset -hsetnx -hmset -hincrby -hincrbyfloat -hdel -bitop -geoadd -georadius -georadiusbymember""
  engine        = ""REDIS""
  passwords     = [""password123456789""]
}

resource ""aws_elasticache_user_group"" ""test"" {
  engine        = ""REDIS""
  user_group_id = ""userGroupId""
  user_ids      = [aws_elasticache_user.test.user_id]
}",," ```hcl
provider ""aws"" {
  region = ""us-west-2""
}

resource ""aws_elasticache_user_group"" ""example"" {
  engine         = ""redis""
  user_group_id  = ""default""
  user_ids       = [""user1"", ""user2"", ""user3""]
}

resource ""aws_elasticache_user"" ""user1"" {
  user_id   = ""user1""
  username  = ""user1""
  password  = ""password123""
  access_string = ""+@all""
}

resource ""aws_elasticache_user"" ""user2"" {
  user_id   = ""user2""
  username  = ""user2""
  password  = ""password456""
  access_string = ""+@read""
}

resource ""aws_elasticache_user"" ""user3"" {
  user_id   = ""user3""
  username  = ""user3""
  password  = ""password789""
  access_string = ""+@all""
}
```",False,No opa_result,"
Error: Missing required argument

  on main.tf line 11, in resource ""aws_elasticache_user"" ""user1"":
  11: resource ""aws_elasticache_user"" ""user1"" {

The argument ""user_name"" is required, but no definition was found.

Error: Missing required argument

  on main.tf line 11, in resource ""aws_elasticache_user"" ""user1"":
  11: resource ""aws_elasticache_user"" ""user1"" {

The argument ""engine"" is required, but no definition was found.

Error: Unsupported argument

  on main.tf line 13, in resource ""aws_elasticache_user"" ""user1"":
  13:   username  = ""user1""

An argument named ""username"" is not expected here. Did you mean ""user_name""?

Error: Unsupported argument

  on main.tf line 14, in resource ""aws_elasticache_user"" ""user1"":
  14:   password  = ""password123""

An argument named ""password"" is not expected here. Did you mean ""passwords""?

Error: Missing required argument

  on main.tf line 18, in resource ""aws_elasticache_user"" ""user2"":
  18: resource ""aws_elasticache_user"" ""user2"" {

The argument ""user_name"" is required, but no definition was found.

Error: Missing required argument

  on main.tf line 18, in resource ""aws_elasticache_user"" ""user2"":
  18: resource ""aws_elasticache_user"" ""user2"" {

The argument ""engine"" is required, but no definition was found.

Error: Unsupported argument

  on main.tf line 20, in resource ""aws_elasticache_user"" ""user2"":
  20:   username  = ""user2""

An argument named ""username"" is not expected here. Did you mean ""user_name""?

Error: Unsupported argument

  on main.tf line 21, in resource ""aws_elasticache_user"" ""user2"":
  21:   password  = ""password456""

An argument named ""password"" is not expected here. Did you mean ""passwords""?

Error: Missing required argument

  on main.tf line 25, in resource ""aws_elasticache_user"" ""user3"":
  25: resource ""aws_elasticache_user"" ""user3"" {

The argument ""user_name"" is required, but no definition was found.

Error: Missing required argument

  on main.tf line 25, in resource ""aws_elasticache_user"" ""user3"":
  25: resource ""aws_elasticache_user"" ""user3"" {

The argument ""engine"" is required, but no definition was found.

Error: Unsupported argument

  on main.tf line 27, in resource ""aws_elasticache_user"" ""user3"":
  27:   username  = ""user3""

An argument named ""username"" is not expected here. Did you mean ""user_name""?

Error: Unsupported argument

  on main.tf line 28, in resource ""aws_elasticache_user"" ""user3"":
  28:   password  = ""password789""

An argument named ""password"" is not expected here. Did you mean ""passwords""?
",None,Terraform plan failed.
aws_dynamodb_contributor_insights,"Enable contributor insights on a table named ""ExampleTableName""","package main

import future.keywords.in

default allow = false

# Check if AWS DynamoDB Contributor Insights is being created for a specific table
aws_dynamodb_contributor_insights_valid(resources) {
    some resource in resources
    resource.type == ""aws_dynamodb_contributor_insights""
}

# Aggregate all checks
allow {
    aws_dynamodb_contributor_insights_valid(input.resource_changes)
}
",1,"resource ""aws_dynamodb_contributor_insights"" ""test"" {
  table_name = ""ExampleTableName""
}",Create a DynamoDB table and enable contributor insights," ```hcl
provider ""aws"" {
  region = ""us-west-2""
}

resource ""aws_dynamodb_table"" ""example"" {
  name           = ""ExampleTableName""
  billing_mode   = ""PROVISIONED""
  read_capacity  = 5
  write_capacity = 5
  hash_key       = ""Id""

  attribute {
    name = ""Id""
    type = ""N""
  }
}

resource ""aws_dynamodb_contributor_insights"" ""example"" {
  table_name = aws_dynamodb_table.example.name
  enable     = true
}
```",False,No opa_result,"
Error: Unsupported argument

  on main.tf line 20, in resource ""aws_dynamodb_contributor_insights"" ""example"":
  20:   enable     = true

An argument named ""enable"" is not expected here.
",None,Terraform plan failed.
aws_dax_parameter_group,Create a DAX parameter group.,"package main

import future.keywords.in

default allow = false

# Check for DAX parameter group creation
dax_parameter_group_created(resources) {
some resource in resources
resource.type == ""aws_dax_parameter_group""
resource.change.actions[_] == ""create""
}

# Allow DAX parameter group creation with specific parameters
allow {
dax_parameter_group_created(input.resource_changes)
}",2,"terraform {
required_providers {
aws = {
source = ""hashicorp/aws""
version = ""~> 5.0""
}
}
}

resource ""aws_dax_parameter_group"" ""example"" {
name = ""example""

parameters {
name = ""query-ttl-millis""
value = ""100000""
}

parameters {
name = ""record-ttl-millis""
value = ""100000""
}
}","Has one ""aws_dax_parameter_group"""," ```hcl
provider ""aws"" {
  region = ""us-west-2""
}

resource ""aws_dax_parameter_group"" ""example"" {
  name = ""example-dax-param-group""

  parameters {
    name  = ""query-ttl""
    value = ""10000""
  }

  parameters {
    name  = ""consistent-read""
    value = ""true""
  }
}
```",True,Success,No error,No error,
